,1y,2y,3y,4y,5y,7y,10y,30y
03/07/2000,7.1,7.16,7.17,7.17,7.17,7.2,7.24,7.24
04/07/2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
05/07/2000,7.03,7.06,7.07,7.07,7.08,7.11,7.14,7.16
06/07/2000,7.07,7.13,7.14,7.15,7.16,7.19,7.21,7.21
07/07/2000,7.01,7.04,7.06,7.06,7.07,7.1,7.14,7.14
10/07/2000,7.04,7.09,7.11,7.13,7.14,7.17,7.2,7.19
11/07/2000,7.04,7.1,7.11,7.13,7.14,7.18,7.22,7.2
12/07/2000,7.06,7.12,7.14,7.15,7.17,7.2,7.23,7.19
13/07/2000,7.04,7.09,7.1,7.12,7.13,7.16,7.19,7.13
14/07/2000,7.08,7.14,7.16,7.17,7.19,7.21,7.23,7.17
17/07/2000,7.12,7.21,7.23,7.25,7.28,7.31,7.35,7.28
18/07/2000,7.12,7.21,7.23,7.25,7.28,7.31,7.35,7.29
19/07/2000,7.13,7.22,7.25,7.27,7.29,7.32,7.36,7.3
20/07/2000,7.07,7.14,7.16,7.18,7.21,7.24,7.29,7.23
21/07/2000,7.03,7.09,7.11,7.12,7.14,7.18,7.21,7.16
24/07/2000,7.04,7.12,7.14,7.16,7.17,7.2,7.24,7.19
25/07/2000,7.03,7.1,7.11,7.13,7.15,7.18,7.23,7.17
26/07/2000,7.02,7.08,7.1,7.11,7.13,7.17,7.21,7.17
27/07/2000,7.01,7.07,7.09,7.1,7.11,7.15,7.2,7.15
28/07/2000,7.03,7.09,7.11,7.13,7.15,7.19,7.23,7.19
31/07/2000,7.06,7.12,7.14,7.16,7.18,7.22,7.26,7.21
01/08/2000,7.04,7.08,7.1,7.12,7.14,7.18,7.23,7.17
02/08/2000,7.02,7.06,7.08,7.1,7.12,7.16,7.2,7.18
03/08/2000,6.98,7.02,7.04,7.05,7.07,7.11,7.16,7.13
04/08/2000,6.94,6.97,6.98,7,7.02,7.06,7.11,7.09
07/08/2000,6.94,6.97,6.98,7,7.03,7.06,7.09,7.06
08/08/2000,6.94,6.97,6.99,7.01,7.03,7.06,7.09,7.07
09/08/2000,6.93,6.96,6.97,7,7.02,7.05,7.09,7.07
10/08/2000,6.9,6.92,6.94,6.96,6.98,7.01,7.06,7.05
11/08/2000,6.92,6.94,6.95,6.95,6.97,6.99,7.02,7
14/08/2000,6.96,7,7.02,7.04,7.05,7.07,7.09,7.05
15/08/2000,6.96,6.99,7,7.01,7.03,7.04,7.06,7.02
16/08/2000,6.96,7.01,7.02,7.03,7.04,7.06,7.08,7.04
17/08/2000,6.97,7.01,7.02,7.03,7.04,7.06,7.09,7.05
18/08/2000,6.96,7.01,7.02,7.03,7.04,7.07,7.08,7.06
21/08/2000,6.95,6.98,6.99,7,7.02,7.04,7.07,7.05
22/08/2000,6.95,6.98,6.99,7.01,7.03,7.05,7.08,7.06
23/08/2000,6.93,6.95,6.95,6.95,6.96,6.98,7.01,7
24/08/2000,6.91,6.93,6.93,6.94,6.94,6.96,6.99,6.98
25/08/2000,6.9,6.91,6.92,6.92,6.92,6.94,6.97,6.96
28/08/2000,6.92,6.94,6.94,6.94,6.94,6.96,6.99,6.99
29/08/2000,6.93,6.97,6.97,6.98,6.99,7.02,7.06,7.05
30/08/2000,6.94,6.99,7,7.01,7.03,7.06,7.09,7.08
31/08/2000,6.91,6.93,6.94,6.95,6.96,6.99,7.03,7.03
01/09/2000,6.84,6.85,6.85,6.86,6.87,6.91,6.96,6.97
04/09/2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
05/09/2000,6.83,6.83,6.83,6.84,6.85,6.88,6.93,6.94
