18-May-11,1y,2y,3y,5y,7y,10y,15y,20y,30y
1y,74.7,59.7,49.4,37.9,32.4,28.6,24.6,23.3,22.7
2y,51.9,43.5,38.1,32.2,29.1,26.6,23.7,22.6,22.2
3y,38.9,34.3,31.5,28.4,26.5,24.7,22.5,21.7,21.3
5y,27.5,26.4,25.6,24.5,23.5,22.4,20.7,20.3,19.9
10y,20.9,20.7,20.4,20.1,19.7,19.4,18,17.5,17.7
15y,18.1,18.1,18.1,18,17.9,17.5,16,15.8,15.9
20y,17.3,17.1,16.9,16.4,16.3,16.1,15.2,15,15.3
30y,17.4,17.4,17.1,16.6,16.7,17,16.7,17,16.9
,,,,,,,,,
,,,,,,,,,
USD 3mL,0.26,,,,,,,,
ED1,99.725,,,,,,,,
ED2,99.665,,,,,,,,
ED3,99.575,,,,,,,,
ED4,99.435,,,,,,,,
ED5,99.215,,,,,,,,
ED6,98.94,,,,,,,,
ED7,98.645,,,,,,,,
ED8,98.38,,,,,,,,
2y,0.7421,,,,,,,,
3y,1.205,,,,,,,,
4y,1.649,,,,,,,,
5y,2.056,,,,,,,,
7y,2.678,,,,,,,,
10y,3.2395,,,,,,,,
12y,3.4795,,,,,,,,
15y,3.7152,,,,,,,,
20y,3.8915,,,,,,,,
25y,3.9785,,,,,,,,
30y,4.0255,,,,,,,,
