,18/05/2011,Include,
O/N,0.1,FALSE,TRUE
1M,0.2,FALSE,FALSE
3M,0.26,FALSE,TRUE
01-Jun-11,99.725,FALSE,TRUE
01-Sep-11,99.665,FALSE,TRUE
01-Dec-11,99.575,FALSE,TRUE
01-Mar-12,99.435,FALSE,TRUE
01-Jun-12,99.215,FALSE,TRUE
01-Sep-12,98.94,FALSE,TRUE
01-Dec-12,98.645,FALSE,TRUE
01-Mar-13,98.38,FALSE,TRUE
2y,0.7421,TRUE,FALSE
3y,1.205,TRUE,TRUE
4y,1.649,TRUE,TRUE
5y,2.056,TRUE,TRUE
7y,2.678,TRUE,TRUE
10y,3.2395,TRUE,TRUE
12y,3.4795,TRUE,TRUE
15y,3.7152,TRUE,TRUE
20y,3.8915,TRUE,TRUE
25y,3.9785,TRUE,TRUE
30y,4.0255,TRUE,TRUE
