Date,Nikkei225,Hang Seng,S&P500,FTSE100,Euro Stoxx50,Swiss Market Index
2014/1/14,15422.40039,1838.880005,22791.2793,6766.86,8384.65,3119.53
2014/1/21,15795.95996,1843.800049,23033.11914,6834.26,8486.37,3153.08
2014/1/28,14980.16016,1792.5,21960.64063,6572.33,8186.62,3038.6
2014/2/4,14008.46973,1755.199951,21397.76953,6449.27,8092.53,2962.49
2014/2/18,14843.24023,1840.76001,22587.7207,6796.43,8419.92,3117.44
2014/2/25,15051.59961,1845.119995,22317.19922,6830.5,8506.29,3157.48
2014/3/4,14721.48047,1873.910034,22657.63086,6823.77,8445.22,3136.33
2014/3/11,15224.11035,1867.630005,22269.60938,6685.52,8359.51,3092.55
2014/3/18,14411.26953,1872.25,21583.5,6605.28,8240.07,3073.75
2014/3/25,14423.19043,1865.619995,21732.32031,6604.89,8299.19,3096.64
2014/4/1,14791.99023,1885.52002,22448.53906,6652.61,8457.27,3186.34
2014/4/8,14606.87988,1851.959961,22596.9707,6590.69,8423.36,3177.66
2014/4/15,13996.80957,1842.97998,22671.25977,6541.61,8280.53,3091.52
2014/4/22,14388.76953,1879.550049,22730.67969,6681.76,8461.3,3199.69
2014/5/13,14425.44043,1897.449951,22352.38086,6873.08,8543.58,3211.78
2014/5/20,14075.25,1872.829956,22834.67969,6802,8635.61,3163.93
2014/5/27,14636.51953,1911.910034,22944.30078,6844.94,8710.38,3244.28
2014/6/3,15034.25,1924.23999,23291.03906,6836.3,8661.2,3241.04
2014/6/10,14994.7998,1950.790039,23315.74023,6873.55,8752.86,3313.8
2014/6/17,14975.96973,1941.98999,23203.58984,6766.77,8667.79,3275.33
2014/6/24,15376.24023,1949.97998,22880.64063,6787.07,8673.27,3284.81
2014/7/8,15314.41016,1963.709961,23541.38086,6738.45,8554.51,3184.38
2014/7/15,15395.16016,1973.280029,23459.96094,6710.45,8574.32,3153.75
2014/7/22,15343.28027,1983.530029,23782.10938,6795.34,8594.21,3189.22
2014/7/29,15618.07031,1969.949951,24640.5293,6807.75,8532.11,3190.54
2014/8/5,15320.30957,1920.209961,24648.25977,6682.48,8342.04,3072.2
2014/8/12,15161.30957,1933.75,24689.41016,6632.42,8329.8,3023.77
2014/8/19,15449.79004,1981.599976,25122.94922,6779.31,8525.38,3091.11
2014/8/26,15521.21973,2000.02002,25074.5,6822.76,8673.29,3197.54
2014/9/2,15668.59961,2002.280029,24749.01953,6829.17,8757.32,3180.29
2014/9/16,15911.53027,1998.97998,24136.00977,6792.24,8804.44,3221.73
2014/9/30,16173.51953,1972.290039,22932.98047,6622.72,8835.14,3225.93
2014/10/7,15783.83008,1935.099976,23422.51953,6495.58,8561.99,3082.1
2014/10/14,14936.50977,1877.699951,23047.9707,6392.68,8338.01,3000.99
2014/10/21,14804.28027,1941.280029,23088.58008,6372.33,8404.81,2991.46
2014/10/28,15329.91016,1985.050049,23520.35938,6402.17,8630.41,3036.15
2014/11/4,16862.4707,2012.099976,23845.66016,6453.97,8718.02,3034.24
2014/11/11,17124.10938,2039.680054,23808.2793,6627.4,8896.15,3104.59
2014/11/18,17344.06055,2051.800049,23529.16992,6709.13,8972.54,3120.42
2014/11/25,17407.61914,2067.030029,23843.91016,6731.14,9042.74,3226.15
2014/12/2,17663.2207,2066.550049,23654.30078,6742.1,9138.56,3238.35
2014/12/9,17813.38086,2059.820068,23485.83008,6529.47,9051.39,3162.77
2014/12/16,16755.32031,1972.73999,22670.5,6331.83,8795.13,3049.99
2014/12/30,17450.76953,2080.350098,23501.09961,6547,8983.37,3135.95
2015/1/6,16883.18945,2002.609985,23485.41016,6366.51,8874.47,3007.91
2015/1/13,17087.71094,2023.030029,24215.9707,6542.2,9285.63,3133.86
2015/1/20,17366.30078,2022.550049,23951.16016,6620.1,8178.9,3244.92
2015/1/27,17768.30078,2029.550049,24807.2793,6811.61,8402.82,3372.58
2015/2/3,17335.84961,2050.030029,24554.7793,6871.8,8452.13,3414.18
2015/2/10,17652.67969,2068.590088,24528.09961,6829.12,8620.42,3383.13
2015/2/17,17987.08984,2100.340088,24784.88086,6898.13,8747.83,3438.44
2015/2/24,18603.48047,2115.47998,24750.07031,6949.63,8984.61,3547.1
2015/3/3,18815.16016,2107.780029,24702.7793,6889.13,8954.68,3549.11
2015/3/10,18665.10938,2044.160034,23896.98047,6702.84,9023.71,3567.25
2015/3/17,19437,2074.280029,23901.49023,6837.61,9198.51,3672.16
2015/3/24,19713.44922,2091.5,24399.59961,7019.68,9292.68,3731.35
2015/3/31,19206.99023,2067.889893,24900.89063,6773.04,9128.98,3697.38
2015/4/14,19908.67969,2095.840088,27561.49023,7075.26,9415.62,3784.53
2015/4/21,19909.08984,2097.290039,27850.49023,7062.93,9299.43,3719.38
2015/4/28,20058.94922,2114.76001,28442.75,7030.53,9259.81,3715.42
2015/5/12,19624.83984,2099.120117,27407.17969,6933.8,9044.98,3573.1
2015/5/19,20026.38086,2127.830078,27693.53906,6995.1,9295.62,3670.52
2015/5/26,20437.48047,2104.199951,28249.85938,6948.99,9272.68,3619.3
2015/6/2,20543.18945,2109.600098,27466.7207,6928.27,9204.09,3561.89
2015/6/9,20096.30078,2080.149902,26989.51953,6753.8,8980.22,3456.79
2015/6/16,20257.93945,2096.290039,26566.69922,6710.1,8965.4,3454.09
2015/6/23,20809.41992,2124.199951,27333.46094,6834.87,9137.33,3625.97
2015/6/30,20235.73047,2063.110107,26250.0293,6520.98,8780.91,3424.3
2015/7/7,20376.58984,2081.340088,24975.31055,6432.21,8764.11,3294.19
2015/7/14,20385.33008,2108.949951,25120.91016,6753.75,9311.07,3607.19
2015/7/21,20841.9707,2119.209961,25536.42969,6769.07,9385.45,3647.96
2015/7/28,20328.89063,2093.25,24503.93945,6555.28,9275.72,3554.11
2015/8/4,20520.35938,2093.320068,24406.11914,6686.57,9480.2,3619.31
2015/8/11,20720.75,2084.070068,24498.21094,6664.54,9424.41,3605.28
2015/8/18,20554.4707,2096.919922,23474.9707,6526.29,9383.6,3495.38
2015/8/25,17806.69922,1867.609985,21404.96094,6081.34,8758.79,3218.01
2015/9/1,18165.68945,1913.849976,21185.42969,6058.54,8621.27,3188.73
2015/9/8,17427.08008,1969.410034,21259.03906,6146.1,8760.95,3233.84
2015/9/15,18026.48047,1978.089966,21455.23047,6137.6,8790.44,3207.6
2015/9/29,16930.83984,1884.089966,20556.59961,5909.24,8323.48,3029.86
2015/10/6,18186.09961,1979.920044,21831.61914,6326.16,8761.68,3220.09
2015/10/13,18234.74023,2003.689941,22600.46094,6342.28,8654.64,3221.28
2015/10/20,18207.15039,2030.77002,22989.2207,6345.13,8650.02,3255.72
2015/10/27,18777.03906,2065.889893,23142.73047,6365.27,8849.92,3381.01
2015/11/10,19671.25977,2081.719971,22401.69922,6275.28,8849.77,3425.4
2015/11/17,19630.63086,2050.439941,22264.25,6268.76,8952.58,3451.94
2015/11/24,19924.89063,2089.139893,22587.63086,6277.23,8808.53,3409.6
2015/12/1,20012.40039,2102.629883,22381.34961,6395.65,8993.24,3479.64
2015/12/8,19492.59961,2063.590088,21905.13086,6135.22,8701.2,3297.46
2015/12/15,18565.90039,2043.410034,21274.36914,6017.79,8581.56,3241.51
2015/12/22,18886.69922,2038.969971,21830.01953,6083.1,8515.82,3214.32
2015/12/29,18982.23047,2078.360107,21999.61914,6314.57,8883.01,3314.28
2016/1/5,18374,2016.709961,21188.7207,6137.24,8701.46,3178.01
2016/1/12,17218.96094,1938.680054,19711.75977,5929.24,8332.04,3064.66
2016/1/19,17048.36914,1881.329956,19635.81055,5876.8,8223.76,2980.49
2016/1/26,16708.90039,1903.630005,18860.80078,5911.46,8314.47,3032.84
2016/2/2,17750.67969,1903.030029,19446.83984,5922.01,8196.99,2951.85
2016/2/16,16054.42969,1895.579956,19122.08008,5862.17,7813.79,2821.26
2016/2/23,16052.0498,1921.27002,19414.7793,5962.31,7807.01,2887.38
2016/3/1,16085.50977,1978.349976,19407.46094,6152.88,7962.22,2996.39
2016/3/8,16783.15039,1979.26001,20011.58008,6125.44,7971.15,3002.01
2016/3/15,17117.07031,2015.930054,20288.76953,6139.97,7953.93,3067.21
2016/3/22,17048.55078,2049.800049,20666.75,6192.74,7853.07,3051.23
2016/3/29,17103.5293,2055.01001,20366.30078,6105.9,7797.65,3004.87
2016/4/5,15732.82031,2045.170044,20177,6091.23,7673.67,2890.35
2016/4/12,15928.79004,2061.719971,20504.43945,6242.39,7788.78,2942.09
2016/4/19,16874.43945,2100.800049,21436.21094,6405.35,8152.76,3112.99
2016/4/26,17353.2793,2091.699951,21407.26953,6284.52,8077.18,3121.29
2016/5/10,16565.18945,2084.389893,20242.67969,6156.65,7934.93,2978.97
2016/5/17,16652.80078,2047.209961,20118.80078,6167.77,7906.76,2938.09
2016/5/24,16498.75977,2076.060059,19830.42969,6219.26,8125.24,3010.12
2016/5/31,17234.98047,2096.949951,20815.08984,6230.79,8216.42,3063.48
2016/6/7,16675.44922,2112.129883,21328.24023,6284.53,8215.78,3040.69
2016/6/14,15859,2075.320068,20387.5293,5923.53,7638.77,2797.18
2016/6/21,16169.11035,2088.899902,20668.43945,6226.55,7935.75,2967.34
2016/6/28,15323.13965,2036.089966,20172.46094,6140.39,7773.8,2758.67
2016/7/5,15669.33008,2088.550049,20750.7207,6545.37,7941.67,2812.88
2016/7/12,16095.65039,2152.139893,21224.74023,6680.69,8143.13,2933.44
2016/7/19,16723.31055,2163.780029,21673.19922,6697.37,8111.48,2931.1
2016/7/26,16383.04004,2169.179932,22129.73047,6724.03,8227.2,2978.9
2016/8/9,16764.9707,2181.73999,22465.60938,6851.3,8229.42,3029.18
2016/8/16,16596.50977,2178.149902,22910.83984,6893.92,8215.45,3016.19
2016/8/23,16497.35938,2186.899902,22998.92969,6868.51,8201.61,2993.73
2016/8/30,16725.35938,2176.120117,23016.10938,6820.79,8236.01,3030.75
2016/9/6,17081.98047,2186.47998,23787.67969,6826.05,8304.34,3070.16
2016/9/13,16729.03906,2127.02002,23215.75977,6665.63,8174.73,2974.8
2016/9/20,16492.15039,2139.76001,23530.85938,6830.79,8237.54,2964.86
2016/9/27,16683.92969,2159.929932,23571.90039,6807.67,8175.42,2970.84
2016/10/4,16735.65039,2150.48999,23689.43945,7074.34,8230.73,3029.5
2016/10/11,17024.75977,2136.72998,23549.51953,7070.88,8135.15,3020.69
2016/10/18,16963.60938,2139.600098,23394.39063,7000.06,8074.69,3046.99
2016/10/25,17365.25,2143.159912,23565.10938,7017.64,7929.87,3087.41
2016/11/1,17442.40039,2111.719971,23147.07031,6917.14,7761.34,3023.15
2016/11/8,17171.38086,2139.560059,22909.4707,6843.13,7744.03,3023.43
2016/11/15,17668.15039,2180.389893,22323.91016,6792.74,7909.2,3049.72
2016/11/22,18162.93945,2202.939941,22678.07031,6819.72,7741.82,3044.33
2016/11/29,18307.03906,2204.659912,22737.07031,6772,7845.01,3038.42
2016/12/6,18360.53906,2212.22998,22675.15039,6779.84,7912.39,3100.76
2016/12/13,19250.51953,2271.719971,22446.69922,6968.57,8162.53,3236.71
2016/12/20,19494.5293,2270.76001,21729.06055,7043.96,8243,3279.41
2017/1/10,19301.43945,2268.899902,22744.84961,7275.47,8449.19,3306.21
2017/1/17,18813.5293,2267.889893,22840.9707,7220.38,8304.1,3285.04
2017/1/24,18787.99023,2280.070068,22949.85938,7150.34,8246.66,3281.53
2017/2/7,18910.7793,2293.080078,23331.57031,7186.22,8370.14,3235.71
2017/2/14,19238.98047,2337.580078,23703.00977,7268.56,8426.15,3308.89
2017/2/21,19381.43945,2365.379883,23963.63086,7274.83,8567.18,3339.33
2017/2/28,19118.99023,2363.639893,23740.73047,7263.44,8545.81,3319.61
2017/3/7,19344.15039,2368.389893,23681.07031,7338.99,8623.97,3385.12
2017/3/14,19609.5,2365.449951,23827.94922,7357.85,8663.54,3399.43
2017/3/21,19455.88086,2344.02002,24593.11914,7378.34,8614.86,3429.62
2017/3/28,19202.86914,2358.570068,24345.86914,7343.42,8597.02,3465.07
2017/4/11,18747.86914,2353.780029,24088.46094,7365.5,8641.55,3470.04
2017/4/18,18418.58984,2342.189941,23924.53906,7147.5,8529.28,3409.78
2017/4/25,19079.33008,2388.610107,24455.93945,7275.64,8775.24,3583.16
2017/5/2,19445.69922,2391.169922,24696.13086,7250.05,8868.56,3578.21
2017/5/9,19843,2396.919922,24889.0293,7342.21,9113.83,3649.08
2017/5/16,19919.82031,2400.669922,25335.93945,7522.03,9127.61,3641.89
2017/5/23,19613.2793,2398.419922,25403.15039,7485.29,9061.76,3595.03
2017/6/6,19979.90039,2429.330078,25997.14063,7524.95,8908.27,3554.18
2017/6/13,19898.75,2440.350098,25852.09961,7500.44,8867.07,3557.87
2017/6/20,20230.41016,2437.030029,25843.03906,7472.71,9023.55,3560.66
2017/6/27,20225.08984,2419.379883,25839.99023,7434.36,9072.92,3538.32
2017/7/11,20195.48047,2425.530029,25877.64063,7329.76,8874.07,3464.48
2017/7/18,19999.91016,2460.610107,26524.93945,7390.22,8977.98,3478.68
2017/7/25,19955.19922,2477.129883,26852.05078,7434.82,8937.9,3473.54
2017/8/8,19996.00977,2474.919922,27854.91016,7542.73,9162.33,3515.63
2017/8/15,19753.31055,2464.610107,27174.96094,7383.85,9012.52,3461.91
2017/8/22,19383.83984,2452.51001,27401.66992,7381.74,8963.83,3455.59
2017/8/29,19362.55078,2446.300049,27765.00977,7337.43,8814.54,3388.22
2017/9/5,19385.81055,2457.850098,27741.34961,7372.92,8869.56,3420.86
2017/9/12,19776.61914,2496.47998,27972.24023,7400.69,9053.62,3512.56
2017/9/19,20299.38086,2506.649902,28051.41016,7275.25,9093.2,3531.18
2017/9/26,20330.18945,2496.840088,27513.00977,7285.74,9113.65,3536.38
2017/10/3,20614.07031,2534.580078,28173.21094,7468.11,9283.74,3605.73
2017/10/10,20823.50977,2550.639893,28490.83008,7538.27,9267.17,3598.79
2017/10/17,21336.11914,2559.360107,28697.49023,7516.17,9269.86,3607.77
2017/10/24,21805.16992,2569.129883,28154.9707,7526.54,9194.84,3610.69
2017/10/31,22011.60938,2575.26001,28245.53906,7493.08,9242.18,3673.95
2017/11/7,22937.59961,2590.639893,28994.33984,7513.11,9220.16,3658.77
2017/11/14,22380.00977,2578.870117,29152.11914,7414.42,9130.48,3556.38
