,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
0,49,13,30,45,23,34,35,9,26,26
1,41,38,43,18,7,28,1,41,2,28
2,32,42,14,22,28,20,18,4,22,35
3,39,11,22,30,17,6,7,18,28,43
4,32,41,16,2,8,10,48,26,27,1
5,24,17,37,25,13,8,9,20,16,5
6,14,37,27,36,31,29,46,29,33,12
7,13,45,11,16,24,29,21,46,25,16
8,49,9,0,19,36,17,20,48,3,42
9,9,0,10,43,23,2,34,35,30,3
10,7,26,49,46,29,3,10,20,42,1
11,22,12,15,34,26,38,46,16,47,40
12,3,34,40,33,28,4,26,32,45,9
13,7,3,48,12,37,45,48,45,18,49
14,4,39,28,45,26,10,46,49,27,35
15,27,17,35,2,20,45,15,36,41,4
16,1,31,44,24,24,3,18,47,3,42
17,7,3,48,12,37,45,48,45,18,49
18,37,37,49,31,32,48,16,32,10,12
19,1,20,36,4,16,48,47,10,45,40
20,10,22,43,40,11,2,16,32,0,38
21,12,47,12,21,18,25,13,30,28,44
22,1,17,48,35,27,40,36,48,25,3
23,36,1,49,0,39,24,36,35,5,6
24,5,33,7,30,8,20,7,3,21,27
25,14,15,20,35,23,15,13,21,48,49
26,37,1,5,6,12,26,10,14,8,7
27,19,46,42,40,13,30,24,2,3,30
28,36,45,41,2,33,12,15,33,23,12
29,45,23,24,4,36,44,49,23,30,25
30,15,4,41,42,31,1,1,39,41,35
31,19,49,41,29,46,21,9,25,32,27
32,41,23,3,46,26,44,3,31,9,10
33,27,45,7,39,21,33,44,34,34,24
34,20,33,37,23,27,29,33,22,7,41
35,44,47,0,3,3,39,9,19,21,36
36,2,12,29,9,8,5,43,1,43,15
37,27,17,35,2,20,45,15,36,41,4
38,36,49,24,33,18,33,14,49,7,43
39,41,21,6,36,48,40,26,30,5,15
40,41,18,34,30,43,18,45,23,1,6
41,32,41,16,2,8,10,48,26,27,1
42,19,12,18,49,10,34,33,43,3,12
43,25,23,46,20,29,3,35,39,9,9
44,26,14,32,6,33,44,45,41,4,29
45,19,12,18,49,10,34,33,43,3,12
46,49,13,30,45,23,34,35,9,26,26
47,29,0,29,26,39,22,19,5,36,19
48,24,6,20,6,28,6,2,28,28,38
49,40,33,37,39,32,33,26,35,25,24
50,44,3,38,20,7,19,31,0,5,27
51,2,3,44,14,32,4,3,45,11,22
52,45,8,25,21,45,37,22,16,25,46
53,13,6,38,39,8,13,7,16,22,15
54,20,16,42,28,26,23,48,2,38,9
55,2,44,41,25,36,26,4,41,10,12
56,37,5,45,9,36,13,21,31,17,35
57,15,47,0,18,35,24,49,29,19,19
58,5,41,35,0,31,5,30,0,49,36
59,25,8,35,6,17,7,20,25,2,16
60,24,15,41,18,40,15,11,38,47,29
61,2,3,44,14,32,4,3,45,11,22
62,25,46,43,41,46,0,12,9,18,4
63,0,5,24,34,15,3,46,37,43,19
64,5,38,1,10,6,6,38,38,11,21
65,16,29,0,23,15,10,3,3,16,48
66,42,48,30,16,26,35,49,42,9,44
67,11,28,34,0,0,36,5,38,40,17
68,39,35,30,29,49,33,18,17,29,20
69,23,6,24,24,12,1,38,39,23,46
70,18,5,4,17,5,30,24,3,5,40
71,20,11,4,6,4,47,3,12,36,40
72,19,33,40,32,36,6,21,31,13,7
73,18,46,35,20,17,27,14,41,1,36
74,43,30,9,19,7,21,37,28,8,43
75,45,5,47,42,3,10,27,25,3,14
76,19,7,8,13,5,0,8,15,15,11
77,0,10,11,13,7,30,6,45,30,15
78,27,17,35,2,20,45,15,36,41,4
79,8,7,23,13,17,0,11,28,36,25
80,46,0,40,38,25,10,34,23,32,19
81,30,24,3,8,27,29,46,23,32,19
82,36,5,28,12,26,49,19,12,38,7
83,14,15,20,35,23,15,13,21,48,49
84,34,48,29,3,34,42,13,48,39,21
85,30,27,43,31,20,6,9,27,47,35
86,33,5,40,36,0,11,34,5,16,8
87,6,27,35,6,19,34,38,20,43,0
88,2,5,37,12,44,2,47,27,21,39
89,12,38,35,22,5,23,43,32,11,40
90,38,11,46,18,27,0,14,35,12,42
91,12,47,12,21,18,25,13,30,28,44
92,20,10,43,37,28,47,40,2,27,19
93,32,41,16,2,8,10,48,26,27,1
94,46,48,33,17,29,12,46,32,34,23
95,34,43,13,48,40,8,19,31,8,26
96,14,39,32,1,9,32,31,10,23,35
97,9,28,43,17,41,0,22,16,42,36
98,18,20,30,28,8,18,25,24,39,42
99,28,24,18,3,44,19,45,0,10,3
