,Col1,Col2,Col3,Col4,Col5,性別,地域,商品カテゴリ
0,44,47,64,67,67,女性,西,食品
1,9,83,21,36,87,男性,東,衣類
2,70,88,88,12,58,男性,西,家電
3,65,39,87,46,88,男性,南,家電
4,81,37,25,77,72,女性,東,その他
5,9,20,80,69,79,女性,西,その他
6,47,64,82,99,88,男性,東,家電
7,49,29,19,19,14,女性,東,その他
8,39,32,65,9,57,男性,東,家電
9,32,31,74,23,35,女性,北,その他
10,75,55,28,34,0,男性,西,衣類
11,0,36,53,5,38,男性,東,食品
12,17,79,4,42,58,女性,東,衣類
13,31,1,65,41,57,男性,西,家電
14,35,11,46,82,91,男性,東,家電
15,0,14,99,53,12,男性,東,家電
16,42,84,75,68,6,男性,北,家電
17,68,47,3,76,52,男性,南,衣類
18,78,15,20,99,58,女性,北,食品
19,23,79,13,85,48,女性,西,家電
20,49,69,41,35,64,女性,東,衣類
21,95,69,94,0,50,女性,北,その他
22,36,34,48,93,3,女性,北,家電
23,98,42,77,21,73,女性,東,その他
24,0,10,43,58,23,女性,西,家電
25,59,2,98,62,35,女性,南,家電
26,94,67,82,46,99,男性,西,衣類
27,20,81,50,27,14,男性,東,食品
28,41,58,65,36,10,男性,東,衣類
29,86,43,11,2,51,男性,南,衣類
30,80,32,54,0,38,女性,南,その他
31,19,46,42,56,60,女性,東,衣類
32,77,30,24,2,3,女性,西,衣類
33,94,98,13,40,72,女性,南,衣類
34,19,95,72,26,66,男性,東,食品
35,52,67,61,14,96,女性,南,その他
36,4,67,11,86,77,男性,西,家電
37,75,56,16,24,29,男性,東,家電
38,21,25,80,60,61,女性,西,その他
39,83,33,32,70,85,女性,北,その他
40,31,13,71,56,24,女性,南,衣類
41,79,41,18,40,54,男性,南,その他
42,79,11,38,93,1,女性,東,衣類
43,95,44,88,24,67,女性,東,衣類
44,82,3,76,35,86,女性,北,家電
45,61,69,87,43,32,男性,東,その他
46,11,84,10,54,37,女性,南,家電
47,28,2,27,83,89,女性,西,その他
48,23,53,51,46,20,女性,東,家電
49,53,29,67,35,39,女性,北,衣類
50,9,73,41,23,3,女性,西,衣類
51,46,90,50,3,31,男性,南,家電
52,9,10,27,45,71,男性,東,衣類
53,39,61,85,97,44,女性,北,食品
54,34,34,88,33,5,男性,東,家電
55,36,0,75,34,69,男性,南,家電
56,53,80,62,8,61,男性,東,その他
57,1,81,35,91,40,女性,南,衣類
58,36,48,25,67,35,男性,北,食品
59,30,29,33,18,17,女性,北,その他
60,93,84,2,69,12,男性,南,家電
61,44,66,91,85,39,女性,北,食品
62,39,75,22,30,17,男性,東,食品
63,70,71,18,92,43,女性,北,衣類
64,83,49,41,93,46,女性,西,家電
65,21,73,89,96,91,男性,南,その他
66,73,28,81,58,0,女性,東,食品
67,86,63,16,36,94,男性,北,家電
68,24,63,67,51,8,男性,東,衣類
69,56,91,93,87,32,男性,西,家電
70,19,72,71,87,13,女性,北,衣類
71,58,81,55,64,75,男性,北,家電
72,92,36,25,32,42,女性,南,その他
73,14,86,28,20,82,男性,北,家電
74,68,22,99,83,7,女性,南,その他
75,72,61,13,5,0,女性,北,衣類
76,8,79,79,53,11,男性,東,食品
77,4,39,92,45,26,女性,西,食品
78,74,52,49,91,51,女性,西,その他
79,99,18,34,51,30,男性,北,家電
80,53,58,43,55,18,女性,東,家電
81,45,87,65,70,53,女性,南,家電
82,48,94,59,80,26,女性,西,食品
83,35,58,49,73,44,女性,西,衣類
84,13,70,38,39,8,女性,北,衣類
85,13,7,80,22,79,男性,東,衣類
86,89,8,99,6,81,男性,北,食品
87,71,84,89,66,60,女性,東,衣類
88,16,56,23,24,4,女性,北,その他
89,49,87,30,54,25,女性,西,その他
90,20,97,57,23,27,女性,東,食品
91,29,33,53,51,86,男性,東,家電
92,7,9,54,0,83,女性,北,衣類
93,36,81,20,3,42,男性,北,衣類
94,65,20,36,68,80,男性,東,その他
95,47,10,94,91,43,女性,南,食品
96,63,31,20,70,9,男性,西,家電
97,60,91,35,83,76,女性,南,衣類
98,18,74,98,97,43,男性,南,食品
99,3,12,58,1,0,女性,南,食品
