日付,対円,対ドル,変化率 %,変化率 %
2015/1/4,33.2716,0.2807,-2.92%,-1.30%
2015/1/11,33.0588,0.281,-0.64%,0.11%
2015/1/18,32.7017,0.2777,-1.08%,-1.17%
2015/1/25,32.3523,0.2754,-1.07%,-0.83%
2015/2/1,33.5936,0.2823,3.84%,2.51%
2015/2/8,33.1765,0.2793,-1.24%,-1.06%
2015/2/15,32.8767,0.2762,-0.90%,-1.11%
2015/2/22,33.1044,0.2769,0.69%,0.25%
2015/3/1,33.0797,0.2737,-0.07%,-1.16%
2015/3/8,32.9117,0.2711,-0.51%,-0.95%
2015/3/15,32.1724,0.2681,-2.25%,-1.11%
2015/3/22,32.3297,0.2713,0.49%,1.19%
2015/3/29,32.4183,0.2725,0.27%,0.44%
2015/4/5,32.7857,0.2727,1.13%,0.07%
2015/4/12,32.7996,0.2758,0.04%,1.14%
2015/4/19,33.2036,0.2791,1.23%,1.20%
2015/4/26,33.7334,0.2807,1.60%,0.57%
2015/5/3,33.3115,0.2781,-1.25%,-0.93%
2015/5/10,33.4708,0.2806,0.48%,0.90%
2015/5/17,33.9179,0.2791,1.34%,-0.53%
2015/5/24,33.8685,0.2728,-0.15%,-2.26%
2015/5/31,33.7838,0.2689,-0.25%,-1.43%
2015/6/7,32.8195,0.266,-2.85%,-1.08%
2015/6/14,32.7877,0.2673,-0.10%,0.49%
2015/6/21,32.8633,0.2653,0.23%,-0.75%
2015/6/28,32.5037,0.2647,-1.09%,-0.23%
2015/7/5,32.355,0.2636,-0.46%,-0.42%
2015/7/12,32.581,0.2626,0.70%,-0.38%
2015/7/19,32.4974,0.2625,-0.26%,-0.04%
2015/7/26,32.4535,0.2619,-0.14%,-0.23%
2015/8/2,31.6328,0.2546,-2.53%,-2.79%
2015/8/9,30.4642,0.2451,-3.69%,-3.73%
2015/8/16,29.2101,0.2394,-4.12%,-2.33%
2015/8/23,29.0143,0.2384,-0.67%,-0.42%
2015/8/30,27.9453,0.2349,-3.68%,-1.47%
2015/9/6,27.9282,0.2316,-0.06%,-1.40%
2015/9/13,28.499,0.2376,2.04%,2.59%
2015/9/20,27.4826,0.228,-3.57%,-4.04%
2015/9/27,27.1647,0.2266,-1.16%,-0.61%
2015/10/4,29.052,0.2415,6.95%,6.58%
2015/10/11,28.6096,0.2395,-1.52%,-0.83%
2015/10/18,28.7254,0.2365,0.40%,-1.25%
2015/10/25,28.0785,0.2328,-2.25%,-1.56%
2015/11/1,28.5655,0.2319,1.73%,-0.39%
2015/11/8,28.0395,0.2286,-1.84%,-1.42%
2015/11/15,28.6804,0.2334,2.29%,2.10%
2015/11/22,28.8369,0.2347,0.55%,0.56%
2015/11/29,29.147,0.2366,1.08%,0.81%
2015/12/6,28.1573,0.2329,-3.40%,-1.56%
2015/12/13,28.2531,0.2331,0.34%,0.09%
2015/12/20,27.957,0.2321,-1.05%,-0.43%
2015/12/27,28.025,0.2329,0.24%,0.34%
2016/1/3,26.8163,0.2283,-4.31%,-1.98%
2016/1/10,26.6057,0.2273,-0.79%,-0.44%
2016/1/17,27.6437,0.2328,3.90%,2.42%
2016/1/24,29.1349,0.2407,5.39%,3.39%
2016/1/31,28.101,0.2404,-3.55%,-0.12%
2016/2/7,27.1556,0.2399,-3.36%,-0.21%
2016/2/14,26.7578,0.2377,-1.46%,-0.92%
2016/2/21,27.0688,0.2374,1.16%,-0.13%
2016/2/28,27.6419,0.243,2.12%,2.36%
2016/3/6,27.8378,0.2445,0.71%,0.62%
2016/3/13,27.5481,0.2469,-1.04%,0.98%
2016/3/20,28.0015,0.2477,1.65%,0.32%
2016/3/27,28.691,0.2569,2.46%,3.71%
2016/4/3,27.6886,0.2562,-3.49%,-0.27%
2016/4/10,27.835,0.2559,0.53%,-0.12%
2016/4/17,28.6751,0.2565,3.02%,0.23%
2016/4/24,27.2278,0.256,-5.05%,-0.19%
2016/5/1,26.7278,0.2495,-1.84%,-2.54%
2016/5/8,26.9583,0.2482,0.86%,-0.52%
2016/5/15,26.991,0.245,0.12%,-1.29%
2016/5/22,27.0251,0.2452,0.13%,0.08%
2016/5/29,25.6842,0.2411,-4.96%,-1.67%
2016/6/5,26.2992,0.2459,2.39%,1.99%
2016/6/12,25.3901,0.2439,-3.46%,-0.81%
2016/6/19,24.9646,0.2442,-1.68%,0.12%
2016/6/26,25.6409,0.2501,2.71%,2.42%
2016/7/3,24.9337,0.248,-2.76%,-0.84%
2016/7/10,26.5599,0.2534,6.52%,2.18%
2016/7/17,26.1494,0.2465,-1.55%,-2.72%
2016/7/24,25.0768,0.2457,-4.10%,-0.32%
2016/7/31,25.2787,0.2483,0.81%,1.06%
2016/8/7,25.1471,0.2482,-0.52%,-0.04%
2016/8/14,24.9707,0.2492,-0.70%,0.40%
2016/8/21,25.3554,0.249,1.54%,-0.08%
2016/8/28,25.4472,0.2447,0.36%,-1.73%
2016/9/4,25.2322,0.2457,-0.84%,0.41%
2016/9/11,24.709,0.2415,-2.07%,-1.71%
2016/9/18,24.5521,0.2431,-0.63%,0.66%
2016/9/25,24.5062,0.2418,-0.19%,-0.53%
2016/10/2,24.7541,0.2406,1.01%,-0.50%
2016/10/9,24.7995,0.238,0.18%,-1.08%
2016/10/16,24.8054,0.2389,0.02%,0.38%
2016/10/23,24.9327,0.2382,0.51%,-0.29%
2016/10/30,24.5601,0.2382,-1.49%,0.00%
2016/11/6,24.8962,0.2334,1.37%,-2.02%
2016/11/13,25.1217,0.2265,0.91%,-2.96%
2016/11/20,25.3742,0.2244,1.01%,-0.93%
2016/11/27,25.5093,0.2246,0.53%,0.09%
2016/12/4,26.0879,0.2261,2.27%,0.67%
2016/12/11,26.3518,0.2233,1.01%,-1.24%
2016/12/18,26.2294,0.2235,-0.46%,0.09%
2016/12/25,26.0577,0.2229,-0.65%,-0.27%
2017/1/1,26.1431,0.2236,0.33%,0.31%
2017/1/8,25.6679,0.2241,-1.82%,0.22%
2017/1/15,25.7845,0.225,0.45%,0.40%
2017/1/22,25.9686,0.2256,0.71%,0.27%
2017/1/29,25.4528,0.2258,-1.99%,0.09%
2017/2/5,25.4731,0.225,0.08%,-0.35%
2017/2/12,25.3481,0.2246,-0.49%,-0.18%
2017/2/19,25.2652,0.2252,-0.33%,0.27%
2017/2/26,25.5955,0.2245,1.31%,-0.31%
2017/3/5,25.7779,0.2246,0.71%,0.04%
2017/3/12,25.412,0.2255,-1.42%,0.40%
2017/3/19,25.1588,0.226,-1.00%,0.22%
2017/3/26,25.1712,0.226,0.05%,0.00%
2017/4/2,25.044,0.2255,-0.51%,-0.22%
2017/4/9,24.6489,0.2269,-1.58%,0.62%
2017/4/16,24.7977,0.2273,0.60%,0.18%
2017/4/23,25.6957,0.2304,3.62%,1.36%
2017/4/30,25.9885,0.2306,1.14%,0.09%
2017/5/7,26.0833,0.2301,0.36%,-0.22%
2017/5/14,25.7492,0.2314,-1.28%,0.56%
2017/5/21,26.0852,0.2343,1.30%,1.25%
